class_id,service_name,availability,exec_time,throughput
3,сервіс_3_4,0.93,0.49,99
3,сервіс_3_5,0.89,0.15,58
3,сервіс_3_6,0.92,0.22,83
3,сервіс_3_7,0.91,0.21,65
3,сервіс_3_8,0.92,0.15,69
3,сервіс_3_9,0.86,0.48,78
3,сервіс_3_10,0.92,0.29,73
3,сервіс_3_11,0.89,0.42,58
3,сервіс_3_12,0.87,0.47,56
3,сервіс_3_13,0.88,0.42,70
3,сервіс_3_14,0.98,0.42,80
3,сервіс_3_15,0.96,0.24,64
4,сервіс_4_1,0.91,0.49,71
4,сервіс_4_2,0.94,0.2,57
4,сервіс_4_3,0.97,0.44,74
4,сервіс_4_4,0.96,0.39,79
4,сервіс_4_5,0.91,0.36,55
4,сервіс_4_6,0.88,0.47,83
4,сервіс_4_7,0.99,0.5,96
4,сервіс_4_8,0.86,0.16,57
4,сервіс_4_9,0.89,0.21,53
4,сервіс_4_10,0.85,0.36,55
4,сервіс_4_11,0.9,0.41,68
4,сервіс_4_12,0.93,0.16,69
4,сервіс_4_13,0.99,0.28,74
4,сервіс_4_14,0.97,0.5,59
4,сервіс_4_15,0.86,0.34,94
4,сервіс_4_16,0.9,0.41,84
4,сервіс_4_17,0.87,0.46,55
4,сервіс_4_18,0.96,0.22,62
4,сервіс_4_19,0.85,0.32,85
4,сервіс_4_20,0.96,0.4,96
4,сервіс_4_21,0.89,0.12,95
4,сервіс_4_22,0.91,0.11,99
4,сервіс_4_23,0.85,0.36,85
4,сервіс_4_24,0.87,0.39,98
4,сервіс_4_25,0.92,0.42,94
4,сервіс_4_26,0.89,0.19,61
4,сервіс_4_27,0.86,0.28,96
4,сервіс_4_28,0.94,0.11,57
4,сервіс_4_29,0.98,0.36,56
4,сервіс_4_30,0.91,0.15,96
4,сервіс_4_31,0.93,0.15,99
4,сервіс_4_32,0.92,0.42,82
4,сервіс_4_33,0.86,0.26,79
4,сервіс_4_34,0.95,0.31,86
4,сервіс_4_35,0.88,0.39,68
4,сервіс_4_36,0.98,0.24,55
4,сервіс_4_37,0.87,0.39,50
4,сервіс_4_38,0.9,0.47,69
4,сервіс_4_39,0.87,0.42,53
4,сервіс_4_40,0.86,0.27,69
4,сервіс_4_41,0.97,0.26,69
4,сервіс_4_42,0.95,0.21,89
4,сервіс_4_43,0.91,0.21,99
4,сервіс_4_44,0.89,0.18,78
4,сервіс_4_45,0.87,0.33,96
4,сервіс_4_46,0.93,0.4,79
4,сервіс_4_47,0.94,0.49,72
4,сервіс_4_48,0.89,0.21,93
4,сервіс_4_49,0.87,0.21,59
4,сервіс_4_50,0.87,0.35,100
4,сервіс_4_51,0.86,0.24,60
4,сервіс_4_52,0.9,0.16,53
4,сервіс_4_53,0.98,0.17,71
4,сервіс_4_54,0.86,0.5,90
4,сервіс_4_55,0.93,0.36,53
4,сервіс_4_56,0.91,0.39,63
4,сервіс_4_57,0.9,0.45,94
4,сервіс_4_58,0.88,0.35,88
4,сервіс_4_59,0.93,0.35,84
4,сервіс_4_60,0.94,0.36,93
4,сервіс_4_61,0.97,0.39,51
4,сервіс_4_62,0.98,0.23,97
4,сервіс_4_63,0.99,0.3,80
4,сервіс_4_64,0.9,0.45,66
4,сервіс_4_65,0.96,0.38,98
4,сервіс_4_66,0.98,0.12,100
4,сервіс_4_67,0.94,0.4,75
4,сервіс_4_68,0.91,0.41,84
4,сервіс_4_69,0.96,0.24,73
4,сервіс_4_70,0.87,0.27,84
4,сервіс_4_71,0.94,0.35,66
4,сервіс_4_72,0.95,0.15,92
4,сервіс_4_73,0.85,0.29,87
4,сервіс_4_74,0.96,0.36,64
4,сервіс_4_75,0.96,0.17,65
4,сервіс_4_76,0.98,0.2,70
4,сервіс_4_77,0.96,0.49,75
4,сервіс_4_78,0.93,0.49,62
4,сервіс_4_79,0.91,0.11,77
4,сервіс_4_80,0.86,0.36,79
4,сервіс_4_81,0.95,0.21,69
4,сервіс_4_82,0.96,0.35,99
4,сервіс_4_83,0.95,0.2,72
4,сервіс_4_84,0.97,0.29,63
4,сервіс_4_85,0.86,0.35,88
4,сервіс_4_86,0.88,0.18,78
4,сервіс_4_87,0.91,0.25,53
4,сервіс_4_88,0.87,0.35,73
4,сервіс_4_89,0.87,0.35,89
4,сервіс_4_90,0.91,0.27,89
4,сервіс_4_91,0.86,0.27,84
4,сервіс_4_92,0.94,0.46,99
4,сервіс_4_93,0.87,0.37,70
4,сервіс_4_94,0.91,0.16,88
4,сервіс_4_95,0.92,0.29,60
4,сервіс_4_96,0.99,0.29,58
4,сервіс_4_97,0.91,0.29,54
4,сервіс_4_98,0.89,0.48,59
4,сервіс_4_99,0.92,0.28,93
4,сервіс_4_100,0.98,0.49,74
5,сервіс_5_1,0.96,0.42,51
5,сервіс_5_2,0.89,0.29,90
5,сервіс_5_3,0.88,0.11,78
5,сервіс_5_4,0.92,0.31,74
5,сервіс_5_5,0.89,0.46,73
5,сервіс_5_6,0.9,0.16,61
5,сервіс_5_7,0.9,0.16,95
5,сервіс_5_8,0.93,0.24,71
5,сервіс_5_9,0.96,0.21,70
5,сервіс_5_10,0.99,0.46,62
5,сервіс_5_11,0.91,0.41,96
5,сервіс_5_12,0.99,0.28,97
5,сервіс_5_13,0.97,0.15,72
5,сервіс_5_14,0.87,0.19,99
5,сервіс_5_15,0.98,0.41,78
5,сервіс_5_16,0.92,0.34,59
5,сервіс_5_17,0.97,0.47,77
5,сервіс_5_18,0.96,0.44,78
5,сервіс_5_19,0.93,0.3,75
5,сервіс_5_20,0.93,0.33,90
5,сервіс_5_21,0.86,0.29,60
5,сервіс_5_22,0.91,0.18,67
5,сервіс_5_23,0.85,0.13,98
5,сервіс_5_24,0.95,0.43,81
5,сервіс_5_25,0.88,0.42,57
5,сервіс_5_26,0.86,0.48,86
5,сервіс_5_27,0.98,0.48,84
5,сервіс_5_28,0.92,0.19,63
5,сервіс_5_29,0.98,0.11,52
5,сервіс_5_30,0.95,0.37,93
5,сервіс_5_31,0.9,0.49,67
5,сервіс_5_32,0.9,0.15,51
5,сервіс_5_33,0.95,0.12,75
5,сервіс_5_34,0.86,0.4,75
5,сервіс_5_35,0.86,0.2,64
5,сервіс_5_36,0.92,0.11,83
5,сервіс_5_37,0.87,0.3,54
5,сервіс_5_38,0.95,0.38,66
5,сервіс_5_39,0.95,0.4,100
5,сервіс_5_40,0.9,0.47,82
5,сервіс_5_41,0.87,0.35,56
5,сервіс_5_42,0.95,0.32,74
6,сервіс_6_1,0.96,0.35,75
6,сервіс_6_2,0.92,0.26,93
6,сервіс_6_3,0.89,0.24,67
6,сервіс_6_4,0.93,0.33,59
6,сервіс_6_5,0.86,0.18,57
6,сервіс_6_6,0.86,0.44,95
6,сервіс_6_7,0.99,0.27,52
6,сервіс_6_8,0.92,0.43,93
6,сервіс_6_9,0.87,0.49,60
6,сервіс_6_10,0.91,0.19,97
6,сервіс_6_11,0.91,0.48,70
6,сервіс_6_12,0.88,0.43,68
6,сервіс_6_13,0.91,0.12,78
6,сервіс_6_14,0.91,0.45,56
6,сервіс_6_15,0.95,0.37,74
6,сервіс_6_16,0.89,0.37,51
6,сервіс_6_17,0.9,0.33,55
6,сервіс_6_18,0.98,0.11,75
6,сервіс_6_19,0.93,0.43,67
6,сервіс_6_20,0.93,0.27,82
6,сервіс_6_21,0.87,0.43,54
6,сервіс_6_22,0.94,0.26,77
6,сервіс_6_23,0.88,0.1,96
6,сервіс_6_24,0.92,0.23,71
6,сервіс_6_25,0.98,0.37,56
6,сервіс_6_26,0.95,0.13,86
6,сервіс_6_27,0.93,0.16,96
6,сервіс_6_28,0.9,0.46,63
6,сервіс_6_29,0.9,0.48,61
6,сервіс_6_30,0.88,0.14,67
6,сервіс_6_31,0.9,0.3,78
6,сервіс_6_32,0.87,0.25,57
6,сервіс_6_33,0.93,0.18,97
6,сервіс_6_34,0.91,0.49,94
6,сервіс_6_35,0.86,0.2,58
6,сервіс_6_36,0.9,0.43,64
6,сервіс_6_37,0.94,0.29,51
6,сервіс_6_38,0.99,0.27,68
6,сервіс_6_39,0.95,0.42,68
6,сервіс_6_40,0.86,0.47,57
6,сервіс_6_41,0.92,0.25,64
6,сервіс_6_42,0.98,0.17,90
6,сервіс_6_43,0.85,0.14,97
6,сервіс_6_44,0.92,0.15,55
6,сервіс_6_45,0.96,0.11,62
6,сервіс_6_46,0.94,0.36,55
6,сервіс_6_47,0.99,0.44,80
6,сервіс_6_48,0.93,0.46,81
6,сервіс_6_49,0.9,0.18,84
6,сервіс_6_50,0.9,0.46,98
6,сервіс_6_51,0.92,0.14,96
6,сервіс_6_52,0.92,0.27,65
6,сервіс_6_53,0.87,0.36,60
6,сервіс_6_54,0.97,0.48,81
6,сервіс_6_55,0.86,0.45,92
6,сервіс_6_56,0.94,0.44,95
6,сервіс_6_57,0.96,0.25,50
6,сервіс_6_58,0.95,0.12,53
6,сервіс_6_59,0.98,0.45,53
6,сервіс_6_60,0.98,0.14,60
6,сервіс_6_61,0.99,0.3,60
6,сервіс_6_62,0.92,0.29,84
6,сервіс_6_63,0.98,0.43,60
6,сервіс_6_64,0.97,0.21,64
6,сервіс_6_65,0.86,0.31,53
6,сервіс_6_66,0.85,0.14,90
6,сервіс_6_67,0.92,0.3,53
6,сервіс_6_68,0.88,0.2,89
6,сервіс_6_69,0.92,0.33,65
6,сервіс_6_70,0.91,0.18,51
6,сервіс_6_71,0.92,0.26,57
6,сервіс_6_72,0.88,0.19,89
6,сервіс_6_73,0.9,0.26,79
7,сервіс_7_1,0.87,0.38,86
7,сервіс_7_2,0.95,0.33,77
7,сервіс_7_3,0.89,0.13,96
7,сервіс_7_4,0.97,0.47,80
7,сервіс_7_5,0.94,0.34,67
7,сервіс_7_6,0.98,0.47,50
7,сервіс_7_7,0.98,0.3,72
7,сервіс_7_8,0.96,0.44,56
7,сервіс_7_9,0.86,0.36,74
7,сервіс_7_10,0.88,0.21,65
7,сервіс_7_11,0.9,0.39,69
7,сервіс_7_12,0.87,0.2,57
7,сервіс_7_13,0.98,0.5,90
7,сервіс_7_14,0.88,0.19,57
7,сервіс_7_15,0.96,0.28,88
7,сервіс_7_16,0.98,0.21,88
7,сервіс_7_17,0.94,0.15,61
7,сервіс_7_18,0.93,0.45,58
7,сервіс_7_19,0.85,0.21,68
7,сервіс_7_20,0.89,0.15,56
7,сервіс_7_21,0.98,0.41,96
7,сервіс_7_22,0.86,0.3,75
8,сервіс_8_1,0.96,0.41,62
8,сервіс_8_2,0.86,0.3,95
8,сервіс_8_3,0.87,0.45,76
8,сервіс_8_4,0.91,0.28,67
8,сервіс_8_5,0.97,0.44,79
8,сервіс_8_6,0.92,0.39,70
8,сервіс_8_7,0.89,0.22,61
8,сервіс_8_8,0.99,0.36,76
8,сервіс_8_9,0.93,0.35,85
8,сервіс_8_10,0.96,0.26,87
9,сервіс_9_1,0.92,0.45,86
9,сервіс_9_2,0.99,0.43,59
9,сервіс_9_3,0.9,0.45,94
9,сервіс_9_4,0.88,0.2,63
9,сервіс_9_5,0.93,0.13,74
9,сервіс_9_6,0.88,0.27,52
9,сервіс_9_7,0.97,0.4,57
9,сервіс_9_8,0.95,0.17,71
9,сервіс_9_9,0.92,0.39,81
9,сервіс_9_10,0.99,0.29,80
9,сервіс_9_11,0.99,0.25,85
9,сервіс_9_12,0.95,0.4,72
9,сервіс_9_13,0.97,0.19,67
9,сервіс_9_14,0.94,0.33,68
9,сервіс_9_15,0.94,0.47,52
9,сервіс_9_16,0.85,0.38,72
9,сервіс_9_17,0.86,0.12,61
9,сервіс_9_18,0.99,0.24,80
9,сервіс_9_19,0.98,0.2,84
9,сервіс_9_20,0.92,0.42,90
9,сервіс_9_21,0.95,0.17,57
9,сервіс_9_22,0.97,0.22,65
9,сервіс_9_23,0.85,0.46,65
9,сервіс_9_24,0.98,0.44,76
9,сервіс_9_25,0.91,0.46,99
9,сервіс_9_26,0.91,0.34,97
9,сервіс_9_27,0.92,0.21,60
9,сервіс_9_28,0.85,0.14,72
9,сервіс_9_29,0.97,0.44,100
9,сервіс_9_30,0.85,0.25,85
9,сервіс_9_31,0.88,0.29,53
9,сервіс_9_32,0.95,0.47,57
9,сервіс_9_33,0.9,0.48,67
9,сервіс_9_34,0.97,0.32,80
9,сервіс_9_35,0.99,0.13,68
9,сервіс_9_36,0.91,0.37,71
9,сервіс_9_37,0.92,0.4,56
9,сервіс_9_38,0.98,0.42,52
9,сервіс_9_39,0.95,0.37,67
9,сервіс_9_40,0.96,0.3,76
9,сервіс_9_41,0.98,0.17,63
9,сервіс_9_42,0.92,0.31,66
9,сервіс_9_43,0.92,0.39,57
9,сервіс_9_44,0.96,0.33,100
9,сервіс_9_45,0.86,0.14,76
9,сервіс_9_46,0.95,0.24,79
9,сервіс_9_47,0.98,0.33,66
9,сервіс_9_48,0.87,0.22,85
9,сервіс_9_49,0.95,0.21,80
9,сервіс_9_50,0.88,0.47,94
9,сервіс_9_51,0.91,0.25,86
9,сервіс_9_52,0.86,0.34,91
9,сервіс_9_53,0.87,0.23,90
9,сервіс_9_54,0.93,0.46,97
9,сервіс_9_55,0.96,0.38,61
9,сервіс_9_56,0.95,0.37,88
9,сервіс_9_57,0.85,0.11,99
9,сервіс_9_58,0.9,0.42,80
9,сервіс_9_59,0.96,0.43,69
9,сервіс_9_60,0.89,0.36,55
9,сервіс_9_61,0.94,0.32,96
9,сервіс_9_62,0.86,0.16,66
9,сервіс_9_63,0.86,0.15,77
9,сервіс_9_64,0.89,0.2,100
9,сервіс_9_65,0.99,0.28,83
9,сервіс_9_66,0.95,0.35,97
9,сервіс_9_67,0.92,0.33,94
9,сервіс_9_68,0.88,0.32,71
9,сервіс_9_69,0.87,0.5,82
9,сервіс_9_70,0.99,0.16,80
9,сервіс_9_71,0.98,0.35,70
9,сервіс_9_72,0.95,0.48,75
9,сервіс_9_73,0.97,0.27,68
9,сервіс_9_74,0.92,0.36,92
9,сервіс_9_75,0.93,0.45,77
9,сервіс_9_76,0.92,0.48,97
9,сервіс_9_77,0.87,0.3,62
9,сервіс_9_78,0.88,0.43,96
9,сервіс_9_79,0.9,0.13,91
9,сервіс_9_80,0.98,0.45,92
9,сервіс_9_81,0.92,0.31,68
9,сервіс_9_82,0.96,0.27,84
9,сервіс_9_83,0.87,0.47,79
9,сервіс_9_84,0.9,0.29,100
9,сервіс_9_85,0.89,0.17,96
9,сервіс_9_86,0.9,0.23,61
9,сервіс_9_87,0.97,0.42,53
9,сервіс_9_88,0.86,0.17,78
9,сервіс_9_89,0.86,0.15,69
9,сервіс_9_90,0.97,0.49,93
9,сервіс_9_91,0.95,0.14,70
9,сервіс_9_92,0.94,0.18,72
9,сервіс_9_93,0.85,0.32,88
9,сервіс_9_94,0.88,0.49,97
9,сервіс_9_95,0.92,0.35,79
9,сервіс_9_96,0.87,0.15,89
9,сервіс_9_97,0.95,0.32,68
9,сервіс_9_98,0.95,0.3,97
9,сервіс_9_99,0.88,0.29,88
10,сервіс_10_1,0.99,0.29,81
10,сервіс_10_2,0.94,0.25,58
10,сервіс_10_3,0.91,0.26,55
10,сервіс_10_4,0.97,0.29,64
10,сервіс_10_5,0.96,0.32,78
10,сервіс_10_6,0.97,0.27,75
10,сервіс_10_7,0.86,0.23,67
10,сервіс_10_8,0.88,0.12,92
10,сервіс_10_9,0.95,0.43,75
10,сервіс_10_10,0.94,0.18,96
10,сервіс_10_11,0.96,0.14,81
10,сервіс_10_12,0.95,0.4,52
11,сервіс_11_1,0.85,0.2,69
11,сервіс_11_2,0.88,0.2,82
11,сервіс_11_3,0.92,0.14,57
11,сервіс_11_4,0.99,0.44,51
11,сервіс_11_5,0.98,0.13,61
11,сервіс_11_6,0.87,0.23,77
11,сервіс_11_7,0.95,0.31,90
11,сервіс_11_8,0.93,0.38,50
11,сервіс_11_9,0.93,0.39,91
11,сервіс_11_10,0.92,0.14,66
11,сервіс_11_11,0.97,0.38,91
11,сервіс_11_12,0.96,0.4,83
11,сервіс_11_13,0.93,0.34,74
11,сервіс_11_14,0.97,0.29,57
11,сервіс_11_15,0.97,0.12,71
11,сервіс_11_16,0.87,0.21,54
11,сервіс_11_17,0.91,0.16,75
11,сервіс_11_18,0.85,0.3,61
11,сервіс_11_19,0.86,0.44,66
11,сервіс_11_20,0.99,0.28,100
11,сервіс_11_21,0.95,0.2,95
11,сервіс_11_22,0.91,0.17,82
11,сервіс_11_23,0.93,0.34,55
11,сервіс_11_24,0.98,0.35,56
11,сервіс_11_25,0.92,0.24,64
11,сервіс_11_26,0.93,0.35,54
11,сервіс_11_27,0.9,0.21,88
11,сервіс_11_28,0.97,0.15,70
11,сервіс_11_29,0.93,0.49,68
11,сервіс_11_30,0.99,0.45,95
11,сервіс_11_31,0.87,0.22,95
11,сервіс_11_32,0.96,0.16,66
11,сервіс_11_33,0.96,0.45,94
11,сервіс_11_34,0.96,0.33,87
11,сервіс_11_35,0.91,0.33,99
11,сервіс_11_36,0.97,0.27,71
11,сервіс_11_37,0.92,0.27,98
11,сервіс_11_38,0.88,0.26,70
11,сервіс_11_39,0.95,0.12,71
11,сервіс_11_40,0.86,0.4,53
11,сервіс_11_41,0.96,0.31,79
11,сервіс_11_42,0.92,0.45,61
11,сервіс_11_43,0.88,0.43,98
11,сервіс_11_44,0.94,0.48,69
11,сервіс_11_45,0.99,0.39,98
11,сервіс_11_46,0.85,0.43,87
11,сервіс_11_47,0.96,0.34,53
11,сервіс_11_48,0.98,0.44,75
11,сервіс_11_49,0.89,0.38,50
11,сервіс_11_50,0.97,0.4,56
11,сервіс_11_51,0.89,0.3,57
11,сервіс_11_52,0.89,0.36,79
11,сервіс_11_53,0.91,0.3,53
11,сервіс_11_54,0.94,0.31,52
11,сервіс_11_55,0.98,0.49,91
11,сервіс_11_56,0.93,0.1,74
11,сервіс_11_57,0.95,0.16,55
11,сервіс_11_58,0.85,0.14,78
11,сервіс_11_59,0.93,0.14,72
11,сервіс_11_60,0.88,0.33,99
11,сервіс_11_61,0.87,0.14,56
11,сервіс_11_62,0.96,0.4,61
11,сервіс_11_63,0.87,0.27,69
11,сервіс_11_64,0.97,0.11,88
11,сервіс_11_65,0.99,0.35,77
11,сервіс_11_66,0.87,0.25,56
11,сервіс_11_67,0.93,0.23,81
11,сервіс_11_68,0.97,0.27,83
11,сервіс_11_69,0.89,0.19,99
11,сервіс_11_70,0.99,0.37,98
11,сервіс_11_71,0.97,0.37,59
11,сервіс_11_72,0.92,0.34,72
11,сервіс_11_73,0.89,0.22,55
11,сервіс_11_74,0.89,0.12,56
11,сервіс_11_75,0.94,0.32,91
11,сервіс_11_76,0.92,0.28,69
11,сервіс_11_77,0.93,0.18,53
11,сервіс_11_78,0.98,0.42,59
11,сервіс_11_79,0.87,0.39,62
11,сервіс_11_80,0.98,0.27,73
11,сервіс_11_81,0.97,0.17,94
11,сервіс_11_82,0.96,0.42,92
11,сервіс_11_83,0.9,0.19,87
11,сервіс_11_84,0.97,0.3,84
11,сервіс_11_85,0.98,0.45,63
11,сервіс_11_86,0.94,0.25,76
11,сервіс_11_87,0.93,0.16,60
11,сервіс_11_88,0.94,0.26,92
11,сервіс_11_89,0.86,0.39,89
11,сервіс_11_90,0.91,0.18,93
11,сервіс_11_91,0.96,0.47,95
11,сервіс_11_92,0.97,0.21,51
11,сервіс_11_93,0.95,0.36,62
11,сервіс_11_94,0.91,0.46,88
11,сервіс_11_95,0.94,0.31,83
11,сервіс_11_96,0.89,0.47,72
11,сервіс_11_97,0.94,0.32,77
11,сервіс_11_98,0.98,0.19,95
12,сервіс_12_1,0.97,0.4,66
12,сервіс_12_2,0.86,0.41,50
12,сервіс_12_3,0.98,0.41,76
12,сервіс_12_4,0.86,0.49,87
12,сервіс_12_5,0.92,0.47,54
12,сервіс_12_6,0.93,0.14,63
12,сервіс_12_7,0.87,0.29,68
12,сервіс_12_8,0.87,0.47,71
12,сервіс_12_9,0.96,0.49,79
12,сервіс_12_10,0.89,0.36,96
12,сервіс_12_11,0.96,0.23,91
12,сервіс_12_12,0.9,0.37,84
12,сервіс_12_13,0.96,0.31,65
12,сервіс_12_14,0.87,0.21,71
12,сервіс_12_15,0.95,0.34,52
12,сервіс_12_16,0.9,0.12,85
12,сервіс_12_17,0.87,0.24,96
12,сервіс_12_18,0.93,0.21,66
12,сервіс_12_19,0.88,0.21,83
12,сервіс_12_20,0.86,0.37,74
12,сервіс_12_21,0.96,0.16,96
12,сервіс_12_22,0.94,0.32,55
12,сервіс_12_23,0.95,0.27,58
12,сервіс_12_24,0.98,0.11,87
12,сервіс_12_25,0.97,0.2,66
12,сервіс_12_26,0.98,0.43,88
12,сервіс_12_27,0.88,0.28,80
12,сервіс_12_28,0.89,0.26,93
12,сервіс_12_29,0.92,0.18,91
12,сервіс_12_30,0.98,0.3,61
12,сервіс_12_31,0.94,0.27,99
12,сервіс_12_32,0.87,0.14,60
12,сервіс_12_33,0.96,0.35,61
12,сервіс_12_34,0.9,0.39,71
12,сервіс_12_35,0.93,0.47,70
12,сервіс_12_36,0.88,0.29,98
12,сервіс_12_37,0.88,0.3,78
13,сервіс_13_1,0.96,0.45,61
13,сервіс_13_2,0.98,0.42,79
13,сервіс_13_3,0.89,0.29,93
13,сервіс_13_4,0.89,0.4,77
13,сервіс_13_5,0.86,0.46,96
13,сервіс_13_6,0.88,0.15,98
13,сервіс_13_7,0.9,0.26,74
13,сервіс_13_8,0.9,0.36,78
13,сервіс_13_9,0.97,0.12,92
13,сервіс_13_10,0.97,0.22,92
13,сервіс_13_11,0.96,0.48,82
13,сервіс_13_12,0.94,0.41,50
13,сервіс_13_13,0.89,0.2,59
13,сервіс_13_14,0.9,0.29,71
13,сервіс_13_15,0.93,0.14,76
14,сервіс_14_1,0.96,0.48,64
14,сервіс_14_2,0.98,0.16,97
14,сервіс_14_3,0.93,0.37,83
14,сервіс_14_4,0.89,0.23,63
14,сервіс_14_5,0.88,0.25,96
14,сервіс_14_6,0.86,0.4,88
15,сервіс_15_1,0.92,0.33,91
15,сервіс_15_2,0.96,0.49,88
15,сервіс_15_3,0.9,0.17,98
15,сервіс_15_4,0.91,0.14,81
15,сервіс_15_5,0.89,0.27,97
15,сервіс_15_6,0.93,0.18,78
15,сервіс_15_7,0.94,0.23,73
15,сервіс_15_8,0.92,0.34,64
15,сервіс_15_9,0.98,0.39,92
15,сервіс_15_10,0.85,0.39,71
15,сервіс_15_11,0.98,0.34,87
15,сервіс_15_12,0.97,0.37,83
15,сервіс_15_13,0.85,0.46,68
15,сервіс_15_14,0.95,0.31,58
15,сервіс_15_15,0.91,0.25,82
15,сервіс_15_16,0.98,0.2,62
15,сервіс_15_17,0.9,0.49,77
15,сервіс_15_18,0.91,0.16,95
15,сервіс_15_19,0.91,0.21,77
15,сервіс_15_20,0.94,0.14,93
15,сервіс_15_21,0.88,0.21,78
15,сервіс_15_22,0.95,0.32,72
15,сервіс_15_23,0.87,0.4,64
15,сервіс_15_24,0.93,0.44,90
15,сервіс_15_25,0.92,0.14,53
15,сервіс_15_26,0.88,0.22,72
15,сервіс_15_27,0.88,0.31,64
15,сервіс_15_28,0.95,0.25,96
15,сервіс_15_29,0.96,0.36,92
15,сервіс_15_30,0.88,0.28,53
15,сервіс_15_31,0.99,0.46,90
15,сервіс_15_32,0.94,0.13,98
15,сервіс_15_33,0.97,0.41,56
15,сервіс_15_34,0.87,0.44,73
15,сервіс_15_35,0.94,0.42,81
15,сервіс_15_36,0.89,0.35,54
15,сервіс_15_37,0.99,0.41,64
15,сервіс_15_38,0.93,0.4,72
15,сервіс_15_39,0.86,0.32,82
15,сервіс_15_40,0.97,0.33,78
15,сервіс_15_41,0.97,0.29,53
15,сервіс_15_42,0.9,0.36,83
15,сервіс_15_43,0.96,0.33,88
15,сервіс_15_44,0.9,0.31,61
15,сервіс_15_45,0.94,0.33,56
15,сервіс_15_46,0.86,0.31,59
15,сервіс_15_47,0.92,0.19,86
15,сервіс_15_48,0.93,0.24,70
15,сервіс_15_49,0.94,0.22,84
15,сервіс_15_50,0.95,0.13,94
15,сервіс_15_51,0.95,0.14,70
15,сервіс_15_52,0.93,0.4,62
15,сервіс_15_53,0.86,0.16,96
15,сервіс_15_54,0.88,0.43,71
15,сервіс_15_55,0.87,0.18,50
15,сервіс_15_56,0.92,0.44,74
15,сервіс_15_57,0.92,0.23,83
15,сервіс_15_58,0.92,0.22,91
15,сервіс_15_59,0.93,0.34,79
15,сервіс_15_60,0.86,0.45,58
15,сервіс_15_61,0.91,0.12,87
